,gene_id,AE0,AE1,PCA0,PCA1,UMAP0,UMAP1,tSNE0,tSNE1
7728,IRAK3,-4.666726589,-4.580091476,2.4528041417530684,-0.93671029,9.297569,6.966082,-9.798652,-15.298586
7729,IRAK4,-2.37579751,-6.404390335,1.9882539423957175,0.20042395786960407,9.593976,9.248843,-57.59728,-24.252665
7730,IREB2,-3.682925224,-8.36055088,4.270909423219945,0.26015255499987555,12.214413,4.176579,10.060061,-61.012104
7731,IRF1,-5.080489635,-5.802778244,3.600676601353116,-0.589040084,10.133541,5.4527063,-0.47359738,-21.843857
7732,IRF1-AS1,0.9637848734855652,1.832092523574829,-2.956971048,-0.431163492,1.1573306,6.8802457,10.826371,20.596935
7733,IRF2,-2.769257307,-6.056808472,2.0485583530197298,-0.067562343,9.704603,8.64528,-46.507553,-31.574469
7734,IRF2BP1,-1.198698521,-5.686517239,0.7839792736576983,0.17887110406071335,7.0755644,10.193962,-45.300243,9.755797
7735,IRF2BP2,-5.278232098,-9.171775818,6.220956245632258,-0.032922693,11.664046,0.9340251,52.108044,-54.063324
7736,IRF2BPL,-3.496410847,-7.096132278,3.254052792900068,-0.002107802,10.651744,6.447133,-22.826818,-31.646196
7737,IRF3,-3.039376736,-6.396443844,2.469204281,-0.015778257,10.308548,7.343496,-19.82824,-31.048944
7738,IRF4,-2.806451321,-3.364233494,0.3497776735482639,-0.702425394,4.8276644,8.223419,-1.2997462,4.665841
7739,IRF5,-2.338650465,-4.710839748,0.8673172323372458,-0.095107639,7.4547634,9.579452,-34.499783,3.6745722
7740,IRF6,-2.652165651,-10.32540989,4.589479578079157,1.4189703082779859,12.592856,4.1185327,16.627453,-75.57865
7741,IRF7,-3.098014116,-4.229484558,1.0954748981494873,-0.696020026,7.030268,9.262495,-32.89273,6.2387023
7742,IRF8,-3.763763428,-3.204913378,0.8444080583086991,-0.982293525,6.5227103,8.14618,-7.237295,-1.9175397
7743,IRF9,-4.045309067,-6.2610569,3.148365955716996,-0.32133667,10.218244,6.1051087,-4.289878,-23.814224
7744,IRGM,0.8291007876396179,13.580738067626953,-4.68771704,0.032804812,-0.8849436,1.6243937,60.61593,-0.31134748
7745,IRGQ,-3.640865564,-7.669068336,3.7631110191189814,0.11185000057293719,11.647714,4.96063,-1.4496624,-49.35956
7746,IRS1,-3.476674557,-6.888264656,3.1082805127476516,-0.014656148,11.13575,6.5788875,-11.784429,-45.46686
7747,IRS2,-3.510489941,-6.463333607,2.848810852,-0.293302915,10.90364,7.080997,-22.04816,-40.07711
7748,IRS4,4.815852642059326,14.569808006286621,-4.5380343,0.8534666833640364,0.34481668,1.7633538,38.110264,-10.770916
7749,IRX1,-0.265130788,6.8610711097717285,-3.887260884,-0.308306143,-1.28466,4.3570304,57.783108,43.929726
7750,IRX2,-4.116047382,-1.30574429,-0.079334503,-0.727730067,5.3268147,9.874804,-15.670465,48.805275
7751,IRX3,-2.85391736,-3.912611008,0.7100244651249926,-0.673806712,6.7775455,9.781887,-32.21766,9.261122
7752,IRX4,10.726980209350586,10.37978744506836,-4.489094675,1.3262358809217767,0.563855,2.22348,39.736725,-14.261882
7753,IRX5,-1.157007217,-3.269948483,-0.535029083,-0.495654926,4.521605,10.339141,-23.578516,62.697796
7754,IRX6,5.160981178283691,0.6362383961677551,-2.935267232,0.29888186638192443,0.44915894,6.1763105,15.265728,39.18236
7755,ISCA1,-1.424608231,-7.380552769,1.914481756851693,0.3563281737146561,9.964054,9.230264,-61.25684,-21.40947
7756,ISCA2,-0.096076906,-5.745871067,0.21413243635911638,0.2170348521977426,5.9729843,11.003451,-64.43808,29.247541
7757,ISCU,-3.173395157,-6.531234741,2.645234329,-0.256958762,10.57078,7.3317018,-30.633432,-41.361332
7758,ISG15,-1.832159996,-5.432723999,1.1630869673901387,-0.083075517,7.146767,8.957468,-29.058874,1.5494088
7759,ISG20,-2.413941622,-4.298579693,0.709716498,-0.392338279,6.842906,10.064662,-59.317093,12.033577
7760,ISG20L2,-2.037845612,-7.647321701,2.5182297780679384,0.4952073637646792,11.13184,7.9473767,-41.660652,-47.782566
7761,ISL1,2.3767058849334717,15.068937301635742,-4.62580302,0.36573149995761634,-0.4620411,1.7926476,83.92115,-16.006454
7762,ISL2,6.055294990539551,10.375919342041016,-4.487013694,0.6228861431683598,-0.114841916,2.3978457,43.733955,4.039615
7763,ISLR,-3.74315238,-3.973554134,1.3989959897593571,-0.384468329,7.413831,8.068421,-16.613993,-2.6736243
7764,ISLR2,4.117755413,4.106120586395264,-3.534880256,0.089440342,-0.54580915,4.9564505,49.538937,39.759167
7765,ISM1,-0.506872118,-1.22658062,-1.755233889,-0.508893595,2.9456332,8.51223,-6.663205,28.223427
7766,ISM1-AS1,0.031793951988220215,14.878108978271484,-4.774443094,-0.032359912,-0.8530842,1.4344085,63.604992,-3.8948607
7767,ISM2,6.561758518218994,12.831070899963379,-4.574183803,0.8910609385955088,0.047679573,2.3568797,40.547787,-6.487394
7768,ISOC1,-0.824675143,-6.250603676,0.891765289,0.11461442148742829,7.7680783,10.483805,-61.91263,5.124536
7769,ISOC2,-0.801213741,-6.446525574,1.0113127617853115,0.3885407026765492,7.5732927,10.314409,-45.802715,9.018968
7770,IST1,-4.852879047,-7.817884922,4.8506221083002306,-0.04688134,11.771426,2.9732943,25.778107,-49.64714
7771,ISY1,-0.941209912,-6.76359129,1.2451531051924138,0.5795227690162899,8.5194025,10.612278,-75.676704,-4.5277095
7772,ISY1-RAB43,-3.141810656,-7.00322628,2.919731015935838,0.1087043268944184,11.231291,6.725401,-25.629917,-49.391193
7773,ISYNA1,-1.013508797,-5.953688622,0.8482413409199713,0.2911146705050923,7.343204,10.383146,-47.074444,8.746592
7774,ITCH,-4.571536541,-8.901586533,5.389069323199571,0.14653387632229706,12.04585,1.9049433,36.12743,-58.904564
7775,ITFG1,-3.407015085,-7.525463581,3.4754281905787208,-0.010525942,11.759276,5.625635,-5.255972,-66.847404
7776,ITFG2,-2.567586184,-5.49634409,1.5307833022187436,-0.086607986,8.874294,8.900021,-43.933674,-12.608699
7777,ITFG2-AS1,2.2046337127685547,12.268471717834473,-4.550252107,0.10377606191144492,-0.59286463,2.4311855,52.170425,5.789285
7778,ITGA1,-5.947025299,-5.766263962,4.278687598334936,-1.053185261,10.934483,3.966566,18.875574,-34.943913
7779,ITGA10,-1.621465206,-0.153927118,-1.784522608,-0.938115901,2.1916406,8.3090105,5.4280195,66.95017
7780,ITGA11,-3.165137768,-4.728518963,1.5562731852163996,-0.090812473,7.4725,8.013316,-15.888493,-2.7235448
7781,ITGA2,-3.632745981,-10.73691082,5.740869254036906,0.5393990451177454,11.864163,1.2416762,47.89761,-66.34675
7782,ITGA2B,3.857565402984619,3.504483699798584,-3.524657664,0.028081554373707986,-0.55066925,5.4638906,40.216457,40.061077
7783,ITGA3,-7.826816559,-7.333678722,7.023245277447164,-0.959638354,11.285924,0.34932864,58.27121,-48.595535
7784,ITGA4,-4.522078037,-4.791306019,2.5453008675075783,-0.565461807,9.240519,6.7167454,-6.5773726,-14.624755
7785,ITGA5,-4.677321911,-7.986964703,4.768490307108852,0.1879118161144159,11.871632,3.7067082,21.45838,-67.495544
7786,ITGA6,-2.797693253,-11.54505825,5.545703589286664,1.4491281122069812,12.481394,2.3337193,29.622852,-72.35715
7787,ITGA6-AS1,2.987269639968872,11.772557258605957,-4.556387521,0.19209633982906835,-0.83435756,2.3888576,55.761,9.089166
7788,ITGA7,-1.357616425,-2.565642595,-0.75266997,-0.594452144,4.3425198,9.557891,-34.2064,37.961933
7789,ITGA8,-4.381361485,-1.419256806,0.090070559,-1.678148665,5.0139527,8.642023,-13.83106,11.07347
7790,ITGA9,-5.139248848,-4.274680614,2.5216529522180218,-1.461358608,9.574281,7.051658,-17.284206,-23.422356
7791,ITGA9-AS1,-0.397918344,14.261862754821777,-4.75611535,-0.064254111,-1.0306165,1.3650088,66.24162,-0.56954646
7792,ITGAD,2.4385876655578613,7.463245391845703,-4.131960643,-0.205747365,-1.7169428,4.1078906,64.37392,32.28667
7793,ITGAE,-2.302760839,-3.882653713,0.3714228775006734,-0.289265674,6.1320977,8.758744,-2.046137,0.77811503
7794,ITGAL,-4.626276493,-4.235275269,2.136524426466566,-1.233699512,8.708373,7.136461,-7.9283886,-11.570234
7795,ITGAM,-4.422227859,-4.041944027,1.8425737105650715,-1.001875411,7.2572765,7.861037,-7.233572,-7.3315606
7796,ITGAV,-4.936890602,-10.92366314,7.145392542237305,0.4278236759053294,11.577056,0.21368377,58.12722,-57.816578
